# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 26.968, 589
4, 26.992, 470
5, 27.018, 586
4, 27.044, 467
5, 27.069, 582
4, 27.094, 461
5, 27.119, 577
4, 27.145, 454
5, 27.171, 570
4, 27.195, 446
5, 27.221, 562
4, 27.246, 438
5, 27.272, 553
4, 27.296, 430
5, 27.322, 545
4, 27.348, 422
5, 27.373, 536
4, 27.399, 415
5, 27.423, 529
4, 27.449, 409
5, 27.475, 522
4, 27.500, 404
5, 27.525, 516
4, 27.550, 402
5, 27.576, 513
4, 27.602, 400
5, 27.626, 512
4, 27.652, 401
5, 27.677, 513
4, 27.703, 403
5, 27.728, 515
4, 27.753, 407
5, 27.779, 520
4, 27.804, 413
5, 27.829, 525
4, 27.855, 420
5, 27.880, 533
4, 27.906, 427
5, 27.930, 541
4, 27.956, 436
5, 27.982, 549
4, 28.007, 443
5, 28.032, 558
4, 28.057, 451
5, 28.083, 567
4, 28.109, 458
5, 28.133, 574
4, 28.159, 463
5, 28.184, 581
4, 28.210, 469
5, 28.234, 585
4, 28.260, 471
5, 28.286, 588
4, 28.311, 472
5, 28.336, 590
4, 28.361, 471
5, 28.387, 589
4, 28.413, 469
5, 28.437, 586
4, 28.463, 466
5, 28.488, 581
4, 28.514, 460
5, 28.539, 575
4, 28.564, 453
5, 28.590, 568
4, 28.615, 446
5, 28.640, 559
4, 28.666, 438
5, 28.691, 551
4, 28.717, 430
5, 28.741, 545
4, 28.767, 423
5, 28.793, 533
4, 28.818, 416
5, 28.843, 527
4, 28.868, 411
5, 28.894, 520
4, 28.920, 406
5, 28.944, 515
4, 28.970, 403
5, 28.995, 513
4, 29.021, 403
5, 29.045, 512
4, 29.071, 403
5, 29.097, 514
4, 29.122, 405
5, 29.147, 516
4, 29.172, 409
5, 29.198, 521
4, 29.224, 415
5, 29.248, 527
4, 29.274, 422
5, 29.299, 534
4, 29.325, 429
5, 29.350, 543
4, 29.375, 436
5, 29.401, 551
4, 29.426, 444
5, 29.451, 560
4, 29.477, 451
5, 29.502, 568
4, 29.528, 458
5, 29.552, 575
4, 29.578, 464
5, 29.604, 581
4, 29.629, 468
5, 29.654, 585
4, 29.679, 469
5, 29.705, 588
4, 29.731, 471
5, 29.755, 589
4, 29.781, 470
5, 29.806, 588
4, 29.832, 468
5, 29.856, 584
4, 29.882, 464
5, 29.908, 579
4, 29.933, 459
5, 29.958, 573
4, 29.983, 452
5, 30.009, 566
4, 30.035, 445
5, 30.059, 558
4, 30.085, 438
5, 30.110, 549
4, 30.136, 430
5, 30.161, 540
4, 30.186, 424
5, 30.212, 533
4, 30.237, 417
5, 30.262, 526
4, 30.288, 411
5, 30.313, 521
4, 30.339, 407
5, 30.364, 516
4, 30.389, 404
5, 30.415, 513
4, 30.440, 404
5, 30.466, 513
4, 30.490, 405
5, 30.516, 515
4, 30.542, 407
5, 30.567, 518
4, 30.592, 410
5, 30.617, 523
4, 30.643, 416
5, 30.669, 530
4, 30.693, 422
5, 30.719, 537
4, 30.744, 429
5, 30.770, 545
4, 30.794, 437
5, 30.820, 553
4, 30.846, 444
5, 30.871, 562
4, 30.896, 451
5, 30.921, 570
4, 30.947, 457
5, 30.973, 576
4, 30.997, 462
5, 31.023, 582
4, 31.048, 467
5, 31.074, 586
4, 31.099, 469
5, 31.124, 588
4, 31.150, 470
5, 31.175, 588
4, 31.200, 469
5, 31.226, 585
4, 31.251, 467
5, 31.277, 582
4, 31.301, 463
5, 31.327, 577
4, 31.353, 458
5, 31.378, 571
4, 31.403, 452
5, 31.428, 563
4, 31.454, 446
5, 31.480, 555
4, 31.504, 438
5, 31.530, 546
4, 31.555, 431
5, 31.581, 538
4, 31.605, 424
5, 31.631, 531
4, 31.657, 418
5, 31.682, 525
4, 31.707, 413
5, 31.732, 520
4, 31.758, 408
5, 31.784, 515
4, 31.808, 406
5, 31.834, 515
4, 31.859, 405
5, 31.885, 513
4, 31.910, 406
5, 31.935, 516
4, 31.961, 408
5, 31.986, 520
4, 32.011, 412
5, 32.037, 526
4, 32.062, 417
5, 32.088, 532
4, 32.112, 423
5, 32.138, 540
4, 32.164, 430
5, 32.189, 547
4, 32.214, 437
5, 32.239, 556
4, 32.265, 444
5, 32.291, 564
4, 32.315, 451
5, 32.341, 571
4, 32.366, 457
5, 32.392, 577
4, 32.416, 462
