# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 28.666, 502
5, 28.692, 506
4, 28.718, 469
5, 28.743, 506
4, 28.768, 436
5, 28.793, 509
4, 28.819, 406
5, 28.845, 513
4, 28.869, 380
5, 28.895, 518
4, 28.920, 360
5, 28.946, 523
4, 28.970, 347
5, 28.996, 530
4, 29.022, 341
5, 29.047, 536
4, 29.072, 343
5, 29.097, 543
4, 29.123, 351
5, 29.149, 548
4, 29.173, 367
5, 29.199, 553
4, 29.224, 389
5, 29.250, 556
4, 29.275, 417
5, 29.300, 559
4, 29.326, 448
5, 29.351, 560
4, 29.376, 481
5, 29.402, 561
4, 29.427, 515
5, 29.453, 559
4, 29.477, 547
5, 29.503, 558
4, 29.529, 576
5, 29.554, 555
4, 29.579, 600
5, 29.604, 552
4, 29.630, 618
5, 29.656, 548
4, 29.680, 628
5, 29.706, 544
4, 29.731, 632
5, 29.757, 540
4, 29.781, 628
5, 29.807, 536
4, 29.833, 616
5, 29.858, 534
4, 29.883, 598
5, 29.908, 531
4, 29.934, 573
5, 29.960, 530
4, 29.984, 543
5, 30.010, 529
4, 30.035, 512
5, 30.061, 528
4, 30.087, 477
5, 30.111, 528
4, 30.137, 445
5, 30.162, 529
4, 30.188, 414
5, 30.213, 530
4, 30.238, 386
5, 30.264, 531
4, 30.289, 364
5, 30.314, 532
4, 30.340, 349
5, 30.365, 534
4, 30.391, 342
5, 30.415, 535
4, 30.441, 342
5, 30.467, 536
4, 30.492, 348
5, 30.517, 537
4, 30.542, 363
5, 30.568, 538
4, 30.594, 383
5, 30.618, 538
4, 30.644, 410
5, 30.669, 539
4, 30.695, 440
5, 30.719, 539
4, 30.745, 473
5, 30.771, 540
4, 30.796, 506
5, 30.821, 539
4, 30.846, 539
5, 30.872, 539
4, 30.898, 569
5, 30.922, 539
4, 30.948, 594
5, 30.973, 539
4, 30.999, 613
5, 31.024, 540
4, 31.049, 626
5, 31.075, 541
4, 31.100, 630
5, 31.125, 542
4, 31.151, 629
5, 31.176, 543
4, 31.202, 619
5, 31.226, 544
4, 31.252, 601
5, 31.278, 546
4, 31.303, 578
5, 31.328, 547
4, 31.353, 550
5, 31.379, 548
4, 31.405, 519
5, 31.429, 549
4, 31.455, 486
5, 31.480, 548
4, 31.506, 454
5, 31.530, 548
4, 31.556, 422
5, 31.582, 547
4, 31.607, 395
5, 31.632, 545
4, 31.657, 371
5, 31.683, 543
4, 31.709, 354
5, 31.733, 541
4, 31.759, 345
5, 31.784, 538
4, 31.810, 344
5, 31.835, 534
4, 31.860, 349
5, 31.886, 531
4, 31.911, 361
5, 31.936, 527
4, 31.962, 379
5, 31.987, 524
4, 32.013, 404
5, 32.037, 522
4, 32.063, 433
5, 32.089, 520
4, 32.114, 464
5, 32.139, 519
4, 32.164, 497
5, 32.190, 520
4, 32.216, 529
5, 32.240, 521
4, 32.266, 559
5, 32.291, 524
4, 32.317, 585
5, 32.341, 527
4, 32.367, 605
5, 32.393, 532
4, 32.418, 618
5, 32.443, 536
4, 32.468, 625
5, 32.494, 542
4, 32.520, 625
5, 32.544, 547
4, 32.570, 617
5, 32.595, 553
4, 32.621, 603
5, 32.646, 558
4, 32.671, 581
5, 32.697, 562
4, 32.722, 555
5, 32.747, 565
4, 32.773, 526
5, 32.798, 567
4, 32.824, 495
5, 32.848, 568
4, 32.874, 463
5, 32.900, 566
4, 32.925, 433
5, 32.950, 564
4, 32.975, 404
5, 33.001, 560
4, 33.027, 381
5, 33.051, 554
4, 33.077, 364
5, 33.102, 548
4, 33.128, 353
5, 33.152, 540
4, 33.178, 350
5, 33.204, 532
4, 33.229, 352
5, 33.255, 525
4, 33.279, 363
5, 33.305, 518
4, 33.331, 379
5, 33.356, 511
4, 33.381, 402
5, 33.406, 506
4, 33.432, 428
5, 33.458, 502
4, 33.482, 458
5, 33.508, 502
4, 33.533, 489
5, 33.559, 501
4, 33.584, 519
5, 33.609, 504
4, 33.635, 548
5, 33.660, 507
4, 33.685, 574
5, 33.711, 514
4, 33.736, 594
5, 33.762, 522
4, 33.786, 608
5, 33.812, 531
4, 33.838, 616
5, 33.863, 540
4, 33.888, 618
5, 33.913, 550
4, 33.939, 612
5, 33.965, 560
4, 33.989, 600
5, 34.015, 569
4, 34.040, 581
5, 34.066, 576
4, 34.090, 558
5, 34.116, 581
4, 34.142, 531
5, 34.167, 584
4, 34.192, 502
