# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 29.502, 490
4, 29.527, 506
5, 29.552, 488
4, 29.578, 505
5, 29.604, 487
4, 29.628, 505
5, 29.654, 486
4, 29.679, 505
5, 29.705, 486
4, 29.730, 505
5, 29.755, 488
4, 29.781, 505
5, 29.806, 491
4, 29.831, 504
5, 29.857, 493
4, 29.882, 505
5, 29.908, 497
4, 29.932, 506
5, 29.958, 501
4, 29.983, 505
5, 30.009, 506
4, 30.034, 506
5, 30.059, 511
4, 30.085, 505
5, 30.110, 515
4, 30.135, 505
5, 30.161, 518
4, 30.186, 506
5, 30.212, 522
4, 30.236, 506
5, 30.262, 524
4, 30.288, 506
5, 30.313, 526
4, 30.338, 506
5, 30.363, 526
4, 30.389, 506
5, 30.415, 525
4, 30.439, 506
5, 30.465, 524
4, 30.490, 505
5, 30.516, 522
4, 30.541, 506
5, 30.566, 519
4, 30.592, 506
5, 30.617, 514
4, 30.642, 506
5, 30.668, 510
4, 30.693, 506
5, 30.719, 507
4, 30.743, 505
5, 30.769, 502
4, 30.795, 506
5, 30.820, 498
4, 30.845, 506
5, 30.870, 494
4, 30.896, 506
5, 30.921, 491
4, 30.946, 506
5, 30.972, 489
4, 30.997, 506
5, 31.023, 487
4, 31.047, 506
5, 31.073, 487
4, 31.099, 506
5, 31.124, 487
4, 31.149, 505
5, 31.174, 489
4, 31.200, 506
5, 31.226, 492
4, 31.250, 506
5, 31.276, 494
4, 31.301, 506
5, 31.327, 497
4, 31.352, 506
5, 31.377, 502
4, 31.403, 506
5, 31.428, 506
4, 31.453, 506
5, 31.479, 510
4, 31.504, 506
5, 31.530, 514
4, 31.554, 506
5, 31.580, 518
4, 31.606, 506
5, 31.631, 521
4, 31.656, 506
5, 31.681, 523
4, 31.707, 506
5, 31.732, 524
4, 31.757, 506
5, 31.783, 525
4, 31.808, 506
5, 31.834, 524
4, 31.858, 506
5, 31.884, 523
4, 31.910, 505
5, 31.935, 521
4, 31.960, 505
5, 31.985, 518
4, 32.011, 506
5, 32.037, 515
4, 32.061, 505
5, 32.087, 510
4, 32.112, 505
5, 32.138, 506
4, 32.163, 506
5, 32.188, 502
4, 32.214, 505
5, 32.239, 497
4, 32.264, 505
5, 32.290, 495
4, 32.315, 506
5, 32.341, 492
4, 32.365, 505
5, 32.391, 490
4, 32.417, 505
5, 32.442, 488
4, 32.467, 505
5, 32.492, 489
4, 32.518, 506
5, 32.543, 489
4, 32.568, 506
5, 32.594, 490
4, 32.619, 506
5, 32.645, 493
4, 32.669, 505
5, 32.695, 495
4, 32.721, 506
5, 32.746, 498
4, 32.771, 506
5, 32.796, 503
4, 32.822, 506
5, 32.848, 506
4, 32.872, 506
5, 32.898, 510
4, 32.923, 506
5, 32.949, 514
4, 32.974, 506
5, 32.999, 517
4, 33.025, 505
5, 33.050, 520
4, 33.075, 506
5, 33.101, 523
4, 33.126, 506
5, 33.152, 524
4, 33.176, 506
5, 33.202, 523
4, 33.228, 506
5, 33.253, 523
4, 33.278, 506
5, 33.303, 522
4, 33.329, 506
5, 33.355, 519
4, 33.379, 506
5, 33.405, 516
4, 33.430, 506
5, 33.456, 513
4, 33.480, 506
5, 33.506, 509
4, 33.532, 506
5, 33.557, 506
4, 33.582, 506
5, 33.607, 501
4, 33.633, 506
5, 33.659, 498
4, 33.683, 505
5, 33.709, 495
4, 33.734, 506
5, 33.760, 492
4, 33.785, 506
5, 33.810, 490
4, 33.836, 506
5, 33.861, 490
4, 33.886, 506
5, 33.912, 489
4, 33.937, 506
5, 33.963, 489
4, 33.987, 506
5, 34.013, 491
4, 34.039, 506
5, 34.064, 493
4, 34.089, 506
5, 34.114, 496
4, 34.140, 507
5, 34.166, 499
4, 34.190, 506
